record_id,work_order,service_date,agitator_tag,gearbox_tag,motor_tag,component,measurement_type,item_description,unit,source_value,technician,record_note
PMT-0161,TREND-070808,2026-07-08 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.19,shift log,routine historian entry
PMT-0162,TREND-070808,2026-07-08 08:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,87.7,shift log,routine historian entry
PMT-0163,TREND-070808,2026-07-08 08:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.00,shift log,routine historian entry
PMT-0164,TREND-070808,2026-07-08 08:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.55,shift log,routine historian entry
PMT-0165,TREND-070814,2026-07-08 14:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,88.4,shift log,routine historian entry
PMT-0166,TREND-070814,2026-07-08 14:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,7.60,shift log,routine historian entry
PMT-0167,TREND-070814,2026-07-08 14:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,104.5,shift log,routine historian entry
PMT-0168,TREND-070814,2026-07-08 14:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,6.00,shift log,routine historian entry
PMT-0169,TREND-070814,2026-07-08 14:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.10,shift log,routine historian entry
PMT-0170,TREND-070820,2026-07-08 20:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.5,shift log,routine historian entry
PMT-0171,TREND-070820,2026-07-08 20:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.33,shift log,routine historian entry
PMT-0172,TREND-070820,2026-07-08 20:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,87.9,shift log,routine historian entry
PMT-0173,TREND-070820,2026-07-08 20:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.12,shift log,routine historian entry
PMT-0174,TREND-070820,2026-07-08 20:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.63,shift log,routine historian entry
PMT-0175,TREND-070902,2026-07-09 02:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.7,shift log,routine historian entry
PMT-0176,TREND-070902,2026-07-09 02:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.45,shift log,routine historian entry
PMT-0177,TREND-070902,2026-07-09 02:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.0,shift log,routine historian entry
PMT-0178,TREND-070902,2026-07-09 02:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.23,shift log,routine historian entry
PMT-0179,TREND-070902,2026-07-09 02:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.71,shift log,routine historian entry
PMT-0180,TREND-070908,2026-07-09 08:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.8,shift log,routine historian entry
PMT-0181,TREND-070908,2026-07-09 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.49,shift log,routine historian entry
PMT-0182,TREND-070908,2026-07-09 08:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.1,shift log,routine historian entry
PMT-0183,TREND-070908,2026-07-09 08:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.26,shift log,routine historian entry
PMT-0184,TREND-070908,2026-07-09 08:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.73,shift log,routine historian entry
PMT-0185,TREND-070914,2026-07-09 14:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.8,shift log,routine historian entry
PMT-0186,TREND-070914,2026-07-09 14:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.45,shift log,routine historian entry
PMT-0187,TREND-070914,2026-07-09 14:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.1,shift log,routine historian entry
PMT-0188,TREND-070914,2026-07-09 14:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.21,shift log,routine historian entry
PMT-0189,TREND-070914,2026-07-09 14:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.65,shift log,routine historian entry
PMT-0190,TREND-070920,2026-07-09 20:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.8,shift log,routine historian entry
PMT-0191,TREND-070920,2026-07-09 20:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.39,shift log,routine historian entry
PMT-0192,TREND-070920,2026-07-09 20:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.0,shift log,routine historian entry
PMT-0193,TREND-070920,2026-07-09 20:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.14,shift log,routine historian entry
PMT-0194,TREND-070920,2026-07-09 20:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.56,shift log,routine historian entry
PMT-0195,TREND-071002,2026-07-10 02:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.8,shift log,routine historian entry
PMT-0196,TREND-071002,2026-07-10 02:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.39,shift log,routine historian entry
PMT-0197,TREND-071002,2026-07-10 02:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.1,shift log,routine historian entry
PMT-0198,TREND-071002,2026-07-10 02:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.13,shift log,routine historian entry
PMT-0199,TREND-071002,2026-07-10 02:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.53,shift log,routine historian entry
PMT-0200,TREND-071008,2026-07-10 08:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.0,shift log,routine historian entry
PMT-0201,TREND-071008,2026-07-10 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.48,shift log,routine historian entry
PMT-0202,TREND-071008,2026-07-10 08:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.2,shift log,routine historian entry
PMT-0203,TREND-071008,2026-07-10 08:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.21,shift log,routine historian entry
PMT-0204,TREND-071008,2026-07-10 08:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.59,shift log,routine historian entry
PMT-0205,TREND-071014,2026-07-10 14:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.1,shift log,routine historian entry
PMT-0206,TREND-071014,2026-07-10 14:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.61,shift log,routine historian entry
PMT-0207,TREND-071014,2026-07-10 14:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.4,shift log,routine historian entry
PMT-0208,TREND-071014,2026-07-10 14:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.33,shift log,routine historian entry
PMT-0209,TREND-071014,2026-07-10 14:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.68,shift log,routine historian entry
PMT-0210,TREND-071020,2026-07-10 20:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.2,shift log,routine historian entry
PMT-0211,TREND-071020,2026-07-10 20:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,6.68,shift log,routine historian entry
PMT-0212,TREND-071020,2026-07-10 20:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.5,shift log,routine historian entry
PMT-0213,TREND-071020,2026-07-10 20:00,AGT-44,GBX-44,MTR-44,mechanical seal,seal leakage rate,mechanical seal leakage rate,ml/min,4.39,shift log,routine historian entry
PMT-0214,TREND-071020,2026-07-10 20:00,AGT-44,GBX-44,MTR-44,seal flush,seal flush flow,seal flush flow,L/min,2.72,shift log,routine historian entry
